# buoyID, lat, lon, AnemometerHeight
32012 -19.626 -84.947 999
41001 34.645 -72.695 4.0
41002 31.760 -74.840 5.0
41004 32.501 -79.099 5.0
41008 31.400 -80.868 5.0
41009 28.522 -80.188 5.0
41010 28.903 -78.464 5.0
41013 33.436 -77.743 4.0
41025 35.006 -75.402 5.0
41036 34.207 -76.949 5.0
41040 14.516 -53.024 5.0
41041 14.329 -46.082 5.0
41043 21.132 -64.856 4.0
41044 21.575 -58.625 4.0
41046 23.866 -68.481 4.0
41047 27.517 -71.483 4.0
41048 31.860 -69.590 4.0
41049 27.537 -62.945 5.0
41051 18.257 -65.004 4.0
41052 18.251 -64.763 4.0
41053 18.474 -66.099 4.0
41056 18.260 -65.457 4.0
41060 14.754 -50.949 2.7
41108 33.721 -78.015 999
41110 34.141 -77.717 999
41112 30.709 -81.292 999
41113 28.400 -80.533 999
41114 27.551 -80.219 999
41115 18.376 -67.280 999
41159 34.210 -76.948 999
42001 25.897 -89.668 5.0
42002 26.091 -93.758 5.0
42003 26.007 -85.648 5.0
42012 30.065 -87.555 5.0
42019 27.907 -95.352 5.0
42020 26.968 -96.694 5.0
42035 29.232 -94.413 5.0
42036 28.500 -84.517 5.0
42039 28.739 -86.006 5.0
42040 29.203 -88.203 4.0
42055 22.120 -93.960 5.0
42056 19.918 -84.938 4.0
42057 16.752 -81.550 5.0
42058 14.923 -74.918 5.0
42059 15.252 -67.510 4.0
42060 16.406 -63.188 4.0
42067 30.042 -88.647 5.0
42085 17.860 -66.524 4.0
42097 25.700 -83.650 999
42098 27.589 -82.931 999
42099 27.341 -84.272 999
42360 26.672 -90.471 3.0
42369 27.207 -90.283 60.4
42375 28.521 -88.289 61.0
42392 27.196 -90.027 230.0
42395 26.404 -90.792 3.0
42887 28.191 -88.496 48.2
43010 10.051 -125.032 999
44005 43.201 -69.128 5.0
44007 43.525 -70.141 5.0
44008 40.503 -69.248 5.0
44009 38.461 -74.703 5.0
44011 41.098 -66.619 5.0
44013 42.346 -70.651 5.0
44014 36.611 -74.842 5.0
44017 40.694 -72.048 5.0
44018 42.121 -69.701 5.0
44020 41.439 -70.186 5.0
44024 42.327 -65.912 4.0
44025 40.251 -73.164 5.0
44027 44.287 -67.307 5.0
44029 42.523 -70.566 4.0
44030 43.181 -70.428 4.0
44032 43.716 -69.355 4.0
44033 44.055 -68.998 4.0
44034 44.106 -68.109 4.0
44037 43.491 -67.879 4.0
44039 41.138 -72.655 3.5
44040 40.956 -73.580 3.5
44041 37.204 -76.778 3.0
44042 38.033 -76.335 3.0
44043 39.152 -76.391 3.0
44056 36.200 -75.714 999
44058 37.567 -76.257 3.0
44062 38.556 -76.415 3.0
44063 38.963 -76.448 3.0
44064 36.974 -76.046 3.0
44065 40.369 -73.703 5.0
44066 39.568 -72.586 5.0
44072 37.201 -76.266 3.0
44089 37.756 -75.334 999
44090 41.840 -70.329 999
44091 39.778 -73.769 999
44093 36.872 -75.492 999
44094 40.585 -73.106 999
44095 35.750 -75.330 999
44096 37.023 -75.810 999
44097 40.969 -71.127 999
44098 42.798 -70.168 999
44099 36.915 -75.720 999
44100 36.259 -75.592 999
45001 48.061 -87.793 5.0
45002 45.344 -86.411 5.0
45003 45.351 -82.840 5.0
45004 47.585 -86.585 5.0
45005 41.677 -82.398 4.0
45006 47.335 -89.793 5.0
45007 42.674 -87.026 5.0
45008 44.283 -82.416 5.0
45012 43.621 -77.406 5.0
45015 41.714 -87.527 999
45016 41.783 -87.573 999
45018 41.968 -87.637 999
45020 44.789 -85.604 2.4
45022 45.403 -85.088 2.95
45023 47.270 -88.607 3.0
45024 43.977 -86.559 2.95
45025 46.969 -88.398 3.0
45026 41.983 -86.617 3.0
45028 46.810 -91.840 3.0
45029 42.900 -86.272 3.0
45161 43.179 -86.357 2.3
45162 44.987 -83.270 2.3
45163 43.986 -83.595 2.3
45165 41.702 -83.261 2.0
45166 45.032 -73.133 2.5
45167 42.186 -80.137 2.0
45168 42.397 -86.331 3.0
45169 41.615 -81.821 2.75
45170 41.755 -86.968 2.5
45171 46.724 -87.411 0.82
45172 46.742 -85.958 0.82
45173 46.573 -86.571 2.0
45174 42.135 -87.655 3.0
45175 45.825 -84.772 2.95
45176 41.550 -81.765 3.0
45177 41.894 -87.613 999
46001 56.304 -147.920 5.0
46002 42.614 -130.490 5.0
46005 45.958 -131.000 5.0
46006 40.782 -137.397 4.0
46011 34.956 -121.019 5.0
46012 37.363 -122.881 5.0
46013 38.238 -123.307 4.0
46014 39.235 -123.974 4.0
46015 42.764 -124.832 5.0
46022 40.720 -124.531 5.0
46025 33.749 -119.053 4.0
46026 37.755 -122.839 5.0
46027 41.852 -124.382 5.0
46028 35.712 -121.858 5.0
46029 46.159 -124.514 5.0
46035 57.026 -177.738 5.0
46041 47.350 -124.704 5.0
46042 36.791 -122.452 5.0
46044 36.700 -122.378 5.0
46047 32.398 -119.498 5.0
46050 44.677 -124.515 5.0
46053 34.252 -119.853 4.0
46054 34.265 -120.477 5.0
46059 38.050 -129.898 4.0
46060 60.584 -146.805 5.0
46061 60.227 -146.834 5.0
46066 52.785 -155.047 5.0
46069 33.674 -120.212 5.0
46070 55.082 -175.153 5.0
46071 51.125 -179.012 5.0
46072 51.656 -172.058 5.0
46073 55.031 -172.001 5.0
46075 53.983 -160.817 5.0
46076 59.502 -147.990 5.0
46078 55.542 -152.628 5.0
46080 57.939 -149.960 5.0
46081 60.799 -148.263 5.0
46082 59.668 -143.392 5.0
46083 58.300 -137.997 5.0
46084 56.600 -136.101 5.0
46085 55.868 -142.492 5.0
46086 32.491 -118.035 5.0
46087 48.494 -124.728 5.0
46088 48.334 -123.165 5.0
46089 45.893 -125.819 5.0
46098 44.381 -124.956 4.5
46099 46.986 -124.566 4.5
46100 46.851 -124.972 4.5
46108 59.597 -151.829 999
46114 36.723 -122.351 999
46211 46.858 -124.244 999
46213 40.288 -124.719 999
46214 37.948 -123.468 999
46215 35.204 -120.859 999
46216 34.333 -119.803 999
46217 34.167 -119.435 999
46218 34.454 -120.782 999
46219 33.221 -119.881 999
46221 33.854 -118.633 999
46222 33.618 -118.317 999
46223 33.458 -117.767 999
46224 33.179 -117.471 999
46225 32.933 -117.391 999
46229 43.766 -124.551 999
46231 32.747 -117.370 999
46232 32.530 -117.421 999
46236 36.760 -121.949 999
46237 37.786 -122.634 999
46239 36.341 -122.102 999
46240 36.626 -121.907 999
46242 33.220 -117.439 999
46243 46.216 -124.127 999
46244 40.888 -124.357 999
46246 50.033 -145.200 999
46248 46.134 -124.640 999
46251 33.760 -119.550 999
46252 33.953 -119.257 999
46253 33.577 -118.182 999
46254 32.868 -117.267 999
46255 33.400 -119.651 999
46256 33.700 -118.201 999
46257 34.439 -120.766 999
46258 32.750 -117.500 999
46259 34.732 -121.664 999
48114 65.011 -169.454 999
48213 71.502 -164.133 999
48214 70.872 -165.248 999
48216 71.758 -167.952 999
51000 23.538 -153.808 5.0
51001 24.417 -162.100 4.0
51002 17.037 -157.696 4.0
51003 19.289 -160.569 5.0
51004 17.602 -152.395 5.0
51100 23.558 -153.900 5.0
51101 24.318 -162.231 5.0
51201 21.671 -158.117 999
51202 21.415 -157.678 999
51203 20.788 -157.010 999
51204 21.281 -158.124 999
51205 21.018 -156.425 999
51206 19.780 -154.970 999
51207 21.477 -157.753 999
51208 22.285 -159.574 999
51209 14.265 -170.494 999
51210 21.477 -157.756 999
52200 13.354 144.788 999
52201 7.083 171.392 999
52202 13.682 144.811 999
52211 15.268 145.662 999
52212 7.630 134.667 999
BTHD1 38.537 -75.046 999
FRFN7 36.189 -75.739 999
LJPC1 32.867 -117.257 20.2
LOPL1 28.885 -90.025 999
NBBA3 36.087 -114.728 3.0
NLMA3 35.458 -114.666 3.0
OCSM2 38.338 -75.070 999
SBBN2 36.050 -114.748 3.0
SLMN2 35.389 -114.621 3.0
SSBN7 33.841 -78.482 999
VBBA3 36.132 -114.412 3.0
